Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
ている,,continuous action (progressive form),Vte.+,,,⚭ Vte + iru,,,
ている,,continuous state (resultative form),Vte.+,,,⚭ Vte + iru,,,
ている,,habitual (repetitive form),Vte.+,,,⚭ Vte + iru,,,
ていただき,,have someone do,Vte.+,,,⚭ Vte + itadaki,,,
てもらう,,have someone do,Vte.+,,,⚭ Vte + morau,,,
てから,,after doing,Vte.+,,,⚭ Vte + kara,,,
てください,,please do (polite request),Vte.+,,,⚭ Vte + kudasai,,,
てくる,,"do and come back, do/done before  coming",Vte.+,,,⚭ Vte + kuru,,,
てみる,,"do and see, try doing",Vte.+,,,⚭ Vte + miru,,,
ても,,even if (i) do,Vte.+,,,⚭ Vte + mo,,,
てもいい,,it’s ok to,Vte.+,,,⚭ Vte + mo ii (desu),,,
てもだいじょうぶ,,it’s ok to,Vte.+,,,⚭ Vte + mo daijoubu (desu),,,
てもかまいません,,it’s ok to,Vte.+,,,⚭ Vte + mo kamaimasen,,,
ておく,,"do for a leter purpose, do and set aside",Vte.+,,,⚭ Vte + oku,,,
てしまう,,"do completely, irrevocably, irretrievably",Vte.+,,,⚭ Vte + shimau,,,
てはいけません,,its not ok to,Vte.+,,,⚭ Vte + wa ikemasen,,,
てはだめです,,its not ok to,Vte.+,,,⚭ Vte + wa dame desu,,,
た,,informal past ,Vta.+,少し休んだ,I rated a little,⚭ Vta,,,
た,,informal past ,Vta.+,私は日本料理を食べた,I ate Japanese food,⚭ Vta,,,
たあと,,"after doing, after having done",Vta.+,食べた後出かけました,"After we ate, went out",⚭ Vta + ato,,,
たあと,,"after doing, after having done",Vta.+,終わった後電話をします,"After I'm done, I'll call you ",⚭ Vta + ato,,,
たばかり,,have just done,Vta.+,いま食べたばかりです,I just ate,⚭ Vta + bakari (desu),,,
たばかり,,have just done,Vta.+,鈴木さんがついたばかりだと思います,I think Mr. Suzuki just arrived,⚭ Vta + bakari (desu),,,
たことがある,,"have (ever) done, had been",Vta.+,ロンドンに行ったことがありますか,Have you ever been to London?,⚭ Vta + koto ga aru,,,
たことがある,,"have (ever) done, had been",Vta.+,刺身を食べたことがありません,I've never eaten raw fish before,⚭ Vta + koto ga aru,,,
たら,,if (i) do/did ,Vta.+,お友達が今電話をしたらどうしますか,What would you do if your friend called you right now?,⚭ Vta + ra,,,
たら,,if (i) do/did ,Vta.+,お金がなくなったら困ります,I would be in trouble if my money ran out,⚭ Vta + ra,,,
たりする,,non-sequential series of verbs,Vta.+,学校が終わってから手紙を書いたり音楽を聞いたりします,"After school, I write letters and listen to music",⚭ Vta + ri~tari suru,,,
たために,,because (i) did because of,Vta.+,先生が言ったために信じました,"Because the teacher said, I believed it",⚭ Vta + tame (ni),,,
たために,,because (i) did because of,Vta.+,手紙を受けたために電話をしました,"Because I received your letter, I called you ",⚭ Vta + tame (ni),,,
たために,,because (i) did because of,Vta.+,気分が悪いですがよく寝なかったためです,"I don't feel well, but that's because I didn't sleep well",⚭ Vta + tame (ni),,,
たところ,,"just did, have just done, the point of having done",Vta.+,今食事が終わったところです,I've just finished dinner,⚭ Vta + tokoro (desu),,,
のが好きです,,I like to,Vdict.+,サッカーを見るのが好きです,I like to watch soccer・I like watching soccer,⚭ Vdict + no ga suki desu ,,,
のが嫌いです,,I don’t like to,Vdict.+,自転車に乗るのが嫌いです,I don’t like to ride a bicycle・I don’t like riding a bicycle,⚭ Vdict + no ga kirai desu ,,,
のが得意です,,I am good at (one’s forte),Vdict.+,ピアノを弾くのが得意です,I am good at playing piano,⚭ Vdict + no ga tokui desu ,,,
のが上手です,,I am good at,Vdict.+,ピアノを弾くのが上手です,I am good at playing piano,⚭ Vdict + no ga jouzu,,,
のが苦手です,,I am not good at,Vdict.+,絵を描くのが苦手です,I am not good at drawing a picture,⚭ Vdict + no ga nigate desu,,,
のが下手です,,I am bad at,Vdict.+,絵を描くのが下手です,I am bad at drawing a picture,⚭ Vdict + no ga heta desu,,,
つもり,,I intend to,Vdict.+,パーティーに行くつもりです,I intend to go to the party,⚭ Vdict + tsumori,,,
まえに,,Before doing,Vdict.+,寝る前に本を読みます,I read a book before going to sleep,⚭ Vdict + mae ni ,,,
ましょうか,,"Shall I, Shall we",Vnoun.+,荷物を持ちましょうか,Shall I carry your bag,⚭ Vnoun + mashouka ,,,
にいきます,,Go to do,Vnoun.+,新宿ウニ映画を見に行きます,I’ll go to Shinjuku to see a movie,⚭ Vnoun + ni ikimasu ,,,
すぎる,,Too much,Vnoun.+,昨日ケーキを食べすぎました,I ate too much cake yesterday,⚭ Vnoun + sugiru ,,,
たい,,I want to,Vnoun.+,ラーメンが食べたいです,I want to eat ramen,⚭ Vnoun + tai ,,,
てほしい,,I want you to,Vte.+,ラーメンが食べて欲しいです,I want you to eat ramen,⚭ Vte + hoshii,,,
てください,,Please do,Vte.+,ゆっくり話してください,Please speak slowly,⚭ Vte + kudasai,,,
てもらえませんか,,Could I have you,Vte.+,ひらがなで書いてもらえませんか,Could I have you write it in hiragana,⚭ Vte + moraemasen ka,,,
て.. て,,do and do,Vte.+,渋谷に行ってご飯を食べる,I’ll go to Shibuya and eat some food,⚭ Vte + .. verb,,,
てもいい,,May I,Vte.+,今日早く帰ってもいいですか,May I leave early today,⚭ Vte + mo ii ,,,
てもいいですか,,Is it ok to,Vte.+,充電器を借りってもいいですか,May I borrow a charger,⚭ Vte + mo ii desu ka ,,,
ている,,Continuous action,Vte.+,今日本語を勉強している,I’m studying Japanese now,⚭ Vte + iru ,,,
ている,,Continuous state,Vte.+,埼玉に住んでいる,I’m living in Saitama,⚭ Vte + iru ,,,
ていた,,I was -ing,Vte.+,昨日の夜８時ごろお風呂に入っていた,I was taking a bath about 8pm last night,⚭ Vte + ita,,,
ていた,,I used to ,Vte.+,10年前パリに住んでいた,I used to live in Paris ten years ago,⚭ Vte + ita,,,
ていません,,I haven’t yet,Vte.+,まだ昼ごはんを食べていません,I haven’t eaten lunch yet,⚭ mada ~ Vte + imasen ,,,
たことがあります,,"I have been to, have done",Vta.+,富士山位登ったことがあります,I have climbed Mount Fuji,⚭ Vta + koto ga arimasu ,,,
たおほうがいい,,Its better to,Vta.+,駅まではバス行ったほうがいいですよ,It’s better to go by bus to the station,⚭ Vta + hou ga ii desu ,,,
たりします,,"I do things like -ing, -ing",,映画を見たり、買い物をしたりします,I do things like watching movies and going shopping,⚭ Vtari + .. Vtari shimasu ,,,
たら,,If I Verb,,お金があったら、世界中旅行します,"If I had the money, I would travel around the world",⚭ Vtara ,,,
たら,,When you Verb,,駅に着いたら、電話して下さい,"When you arrive at the station, please give me a call",⚭ Vtara ,,,
ないでください,,Please do not,,時間に遅れないでください,Please don’t be late,⚭ Vnai + de kudasai ,,,
なきゃいけません,,I should / must / have to,,今日は早めに帰らなきゃいけません,I have to leave earlier today,⚭ Vnakya + ikemasen,,,
ないほうがいい,,Better not to,,無理しないほうがいいです,It’s better not to work too hard,⚭ Vnai + hou ga ii desu ,,,
なくてもいい,,You don’t have to,,日本語で書きなくてもいいです,You don’t have to write in Japanese,⚭ Vnakute + mo ii desu,,,
なくてもいい,,It’ok not to,,いいえ、予約しなくてもいいです,"No, It’s ok to not to make a reservation",⚭ Vnakute + mo ii desu,,,
かもしれません,,I think…,,田中さんは会社にいると思います,I think Tanaka-san is in the office,⚭ Vplain-nonpast + kamoshiremasen ,,,
みたい,,It might…,,明日は雨が降るかもしれません,It might rain tomorrow,⚭ Vplain-nonpast + mitai desu ,,,
とおもう,,Seems to be…,,この曲は人気があるみたいです,This song seems to be popular,⚭ Vplain-past + to omou / to omoimasu ,,,
かもしれません,,I think…,,部長はもう帰ったと思います,I think the manager already went home,⚭ Vplain-past + kamoshiremasen ,,,
みたい,,Might have been…,,セールは昨日までだったかもしれません,The sale might have been until yesterday,⚭ Vplain-past + mitai desu,,,
える,,Seems to have been…,,じょんさんは恣意ごとを辞めたみたいです,John-san seems to have quit his job,⚭ Vpot ,,,
えます,,I can,,ギターが弾けます,I can play the guitar,⚭ Vpot ,,,
ようになる,,To be able to,,まいにちれんしゅうすれば、およげるようになります,"If you practice everyday, you'll eventually be able to swim",⚭ Vpot + you ni naru ,,,
ようになりました,,I became able to,,漢字が読めるようになりました,I became able to read kanji,⚭ Vpot + you ni narimashita,,,
えます,,Can be seen / heard,,ここから富士山が見えます,I can see Mount Fuji from here,⚭ Vpot,,,
はず,,Should Verb (expectation),,部長はまだ会議室にいるはずです,The manager should still be in the meeting room,⚭ Vplain + hazu desu,,,
ので,,Since / Because,,仕事が遺書がしのでレッスンを休みます,I'll miss the lesson because  I’m busy at work,⚭ Vplain + node,,,
かどうかわからない,,I don’t know whether or not to,,JLPT　を受けるかどうかわかりません,I don't know If I’ll take the JLPT or not,⚭ Vplain + kadouka wakaranai,,,
かどうか決めていない,,I haven’t decided whether or not to,,近藤さんの送別会に行くかどうかまだ決めていません,I haven’t  decided if I’ll go to Kondo-san’s farewell party,⚭ Vplain + kadouka kimeteinai  ,,,
かどうか覚えていない,,I don’t remember whether or not,,出かける前に鍵をかけましたかどうか覚えていない,I don't remember  whether or not I locked the door before leaving,⚭ Vplain + kadouka oboeteinai  ,,,
かわからない,,I don't know (what / where / who),,何時に来るか分からない,I don't know what time she will come,⚭ Vplain + ka wakaranai ,,,
か決めていません,,I haven’t decided to (yet) (QW),,いつ帰るかまだ決めていません,I haven’t decided yet when to go back,⚭ Vplain + ka (mada) kimeteimasen,,,
か覚えていません,,I don’t remember (QW),,ここまでどうやって来ましたか覚えていません,I don’t remember how we arrived here,⚭ Vplain + ka oboeteimasen　,,,
てみる,,Try to,,自分で作ってみます,I’ll try to make it myself,⚭ Vte + miru/mimasu ,,,
ておく,,Do in advance,,予約しておきます,I'll make the reservation (in advance),⚭ Vte + oku/okimasu  ,,,
ている,,Has been -ing,,桜が咲いています,The cherry blossoms are booming,⚭ Vte + iru/imasu,,,
てしまいました,,"Ended up, Unfortunately doing, Completely done",,財布を落としてしました,"Unfortunately, I dropped my wallet",⚭ Vte + shimaishita,,,
ちゃった,,"Ended up, Unfortunately doing, Completely done",,食べちゃった,I ate it,⚭ chatta/jatta ,,,
えば,,Conditional,,タクシーに乗れば、間に合います,You can make if if you take a taxi,⚭ Vconditional,,,
えばよかった,,I should / must / have to,,もっと勉強すればよかった,I should have studied harder,⚭ Vconditional + yokatta,,,
えばいいですか,,How / when / what should I ,,どうやって注文すればいいですか,How should I order,⚭ Vconditional + ii desu ka,,,
あげる,,I give…,,私は友達にDVDをあげました,I gave my friend the DVD,⚭ Ageru,,,
くれる,,Gives me …,,友達が私にお菓子をくれました,My frend gave me  snacks,⚭ Kureru ,,,
もらう,,I receive…,,友達に映画のチケットをもらいました,I got tickets to the movies from my friend,⚭ Morau ,,,
てあげる,,I do (to someone),,私は友達に英語教えてあげました,I taught my friend English,⚭ Vte + ageru  ,,,
てくれる,,Someone do (to me),,友達が私に日本語教えてくれました,My friend taught me Japanese,⚭ Vte + kureru ,,,
てもらう,,I have someone do,,友達に宿題を手伝ってもらいました,I had my friend help me with my homework,⚭ Vte + morau ,,,
おうと思っている,,I am thinking of…,,今週は行こうと思っています,I am thinking of going this week,⚭ Vvolitional + to omotteiru ,,,
おうと思ったら,,When I tried to do …,,予約しようと思ったら、いっぱいでした,"When I tried to make a reservation, it was fully booked",⚭ Vvolitional + to omottara,,,
おう,,Volitional,,外に行きましょうか・外に行こう,Shall (we) go outside,⚭ Vvolitional ,,,
られる,,Passive,,ポリッジが誰かに食べられた,The porridge was eaten by somebody,⚭ Vpassive,,,
させる,,Causative ( Let / Made someone),,先生が学生に宿題をたくさんさせた,Teacher made students do lots of homework,⚭ Vcausative,,,
させてあげる,,Causative ( I let someone),,私は田中さんに運転させてあげる,I let Mr. Tanaka to drive,⚭ Vcausative + ageru ,,,
